Dataset,RSD.log10sd,RSD.log10mad,RSD.log10iqr,RSD.log10ci90,RSD.log10ci95,Model,sigmaH,DAF,AHU,Residuals
178,1.60367551687907,0.856414937807747,1.17474157603396,5.4204761686595,5.9156382528133,0.802824626035113,0.0189200715964852,0,0.033498500336531,0.148525569344062
179,1.63905756555792,1.19726009009294,2.630385330119,4.86041204298789,5.39280718512312,0.808380283149717,0.0254483314339457,0.00125077149466736,0.02990772397612,0.128859236103098
180,1.68343283318388,1.29891755252687,2.77146929548928,5.00465492207849,5.51624178105029,0.828720260194638,0.0269246293865157,0.00266644168105759,0.0297860568655983,0.105746430337963
181,2.93556942429755,1.34821797107161,6.1023375890573,7.48086299180509,7.87062736676218,0.943741157473787,0.0232846438240743,0.000408625104240866,0.00960484901265232,0.0145622849595366
182,1.64422382988576,1.19745661566591,2.63469876422542,4.872843266549,5.3421518572416,0.78729403948977,0.0261016724191546,0.00151074157154345,0.0312938204099689,0.145580270266008
183,1.97686381665344,1.3738336282746,3.47066887012901,5.7239812741515,6.1226187450632,0.906799570553348,0.0170908294951546,0,0.0206717189219677,0.0568532659879397
184,1.7615867074192,0.819534689314665,1.59646758564335,5.45852213925842,6.0043743395696,0.785821838039353,0.0204138985703025,0.00179256433017536,0.0296311412878714,0.16145393371475
185,1.99498806280612,1.50105484753036,3.76536434523435,5.56877531402389,6.02338759136095,0.865882495345735,0.026879375879761,0.000475024495718089,0.0204726080538603,0.0851852576090078
186,0.801624650067124,0.712429122641265,0.962344924460114,2.5065731342305,3.09543297633595,0.252861195085435,0.298784222929928,0,0.136153353917223,0.342774145554192
187,1.57983911565165,1.77512664420732,2.6112510892611,5.0305122853245,5.62645414046969,0.850905403731257,0.0249745507627305,0,0.0350322730043447,0.083106336873183
188,1.57896798251802,0.757942342503227,1.08847483035363,5.81684822073356,6.30052833918867,0.844430336511025,0.0934006950968438,0,0.0355279271614646,0.043442387113951
189,1.86353617583565,1.16211715370567,2.03693626992016,5.74275677485304,6.12647726090796,0.913295524837908,0.0173856512931134,0,0.0199921500573991,0.0542389014356286
190,1.72218666840426,0.678184300719084,1.03589522571572,5.44645798360042,5.87132053269306,0.763963410188718,0.0247169367204537,0.000490384640975946,0.0264648638037176,0.187659726944891
191,1.6017918060209,0.818013755238578,1.11094011148825,5.42564397230546,5.92394958432036,0.849320044820651,0.0196918444306725,0,0.0314455641455944,0.109249780730464
192,1.82934607622178,1.89787428087362,3.08926653765824,5.14160549859109,6.32145643052861,0.289771976784636,0.0331105456105402,0,0.0231204621871807,0.656074224329784
193,1.42890960583548,0.872308117297251,1.79749893683454,4.50759047192437,5.09225534130786,0.669157317629857,0.0284901123446745,0,0.0432261502415079,0.269559896212149
194,1.77440898955166,1.48132710008123,3.22072271789108,5.24281908979217,5.64454850350506,0.844376782157199,0.027570526523905,0,0.0269792267952455,0.114729800461338
195,1.77712470416406,0.93388868319392,1.4563766746852,5.52896695369726,5.92739058526003,0.910247149620832,0.0171948993076738,0,0.0282918953769438,0.0546594947878837
196,1.67818181028732,0.782075200398204,1.10302844191687,5.36354506443735,5.89652700210727,0.852140090276483,0.0197915926296411,0.00168232938857961,0.0288516191011547,0.100682122902659
197,1.95341658685411,1.04965051336835,3.42756961454744,5.66020006825972,6.09241431385317,0.888301438803704,0.0208994392934921,0.000926119834512904,0.0204514326234345,0.0690287199378684
198,2.0102919352129,0.916629398654064,3.56854347616375,5.64151371994903,6.03926448225232,0.89601253101549,0.0167247855715675,0,0.0212456157687481,0.0681059171430516
199,1.59766387810596,0.770706234338334,1.44194032570974,5.13206077773844,5.67922823061161,0.703561403522903,0.028382035322782,0.000733327186197254,0.0298445295083016,0.233620404700193
200,1.76125769981086,1.06845049265966,1.46063855789601,5.78781072071092,6.27047720185088,0.861005102038192,0.020796108379291,0.00273593096439923,0.0291923128810712,0.0791696591080064
201,1.92368976905986,1.8297247367795,3.31398718383503,5.89322275247601,6.2987793891215,0.846549132360196,0.0283012921008041,0.000925126111719715,0.0231480874720989,0.092786709169197
202,1.05829971437117,0.627994326359435,0.863366328501483,3.25797471571144,4.94976556518331,0.544107169666702,0.291180923822979,0.0026698344902268,0.0745920256612331,0.0760585621948363
203,1.83221230211411,1.650681306339,2.17640245985613,5.93173387099739,6.39694447523155,0.87100651532125,0.0206579513815587,0.000993993526891429,0.0227476120877326,0.0797411037446127
204,1.53571498341691,0.944146268839488,1.67862236786291,4.73261041515719,5.14022608466931,0.78751239411308,0.0983060367773302,0.00154793132073236,0.0377432599631717,0.0782498217571782
205,2.025003460975,1.92063374532036,2.60678525713265,6.07770615946309,6.50582529429757,0.901027295484112,0.0300057626912136,0.000330806074667695,0.0185876757095137,0.0470153296007246
206,1.3108757123333,0.709275661347457,1.00388994588772,4.67793721111433,5.22145732532158,0.724110141356885,0.162306600131112,0.0017028789957114,0.0492902831058796,0.0745033849001649
207,2.00063256718074,1.874709069278,3.74179879754897,5.64698820801462,6.13557486643648,0.900351615899029,0.0202422798567762,0.00164959738032045,0.0228233889043933,0.0522239624494296
208,1.93460922294002,2.52414127252734,3.45166365810917,5.50993322091872,6.04685454625081,0.641248576424573,0.0307234728132155,0.00225383079275982,0.0230006217812769,0.296803373681862
209,1.90912542224336,2.21165860552354,3.26705811176664,5.60093056381913,6.16685721634813,0.620823888602977,0.038963857496436,0.00204265006724405,0.0218558022183533,0.316109356513443
210,1.94730478629941,2.73048506094965,3.35298700295684,5.78355343266896,6.24501381971528,0.903499290625085,0.0224938601785739,0.00111931536934628,0.0224763985332821,0.0485564642850852
211,1.52462563973797,1.21173471616044,1.72604147102219,4.90531483981203,6.11247618801839,0.0508731691878678,0.0755722401679707,0.000467701462251333,0.0470014787945722,0.826114082653104
212,1.45605511988151,0.851562375791515,1.72254684799023,4.58718308352902,5.19141358826597,0.6628175124266,0.0260929693175123,0.000709717927306654,0.0466921760778251,0.25522257191694
213,1.95103569716864,1.06617483244142,3.57055732089535,5.56557662107759,5.95992917845247,0.882642298049172,0.0162671499280731,0,0.0227212186852842,0.0623980126565453
